ID_Nodo,Latitud,Longitud,Calle_A,Calle_B,Nombre_Esquina
2118016405,-24.7919807,-65.4237099,10 de Octubre,Bonifacio Ruiz de los Llanos,10 de Octubre y Bonifacio Ruiz de los Llanos
2118016424,-24.7910669,-65.4194832,José Ignacio de Gorriti,Santa Rosa,José Ignacio de Gorriti y Santa Rosa
2118016427,-24.7917919,-65.4264671,Bonifacio Ruiz de los Llanos,Chacabuco,Bonifacio Ruiz de los Llanos y Chacabuco
2123976403,-24.8051274,-65.4114281,Esteco,Virgilio Tedín,Esteco y Virgilio Tedín
2123976453,-24.802475,-65.4119121,Bruno Mauricio de Zabala,Esteco,Bruno Mauricio de Zabala y Esteco
2123976459,-24.8063842,-65.411247,Delfín Leguizamón,Esteco,Delfín Leguizamón y Esteco
2123976475,-24.805682,-65.4124061,Carlos María Saravia,Juan Bautista Alberdi,Carlos María Saravia y Juan Bautista Alberdi
2123976505,-24.8050527,-65.412353,Juan Bautista Alberdi,Virgilio Tedín,Juan Bautista Alberdi y Virgilio Tedín
2123976563,-24.8057608,-65.4113536,Carlos María Saravia,Esteco,Carlos María Saravia y Esteco
2133908570,-24.790982,-65.4208539,General José María Paz,Santa Rosa,General José María Paz y Santa Rosa
2133908575,-24.7916621,-65.429238,Ayacucho,Yapeyú,Ayacucho y Yapeyú
2133908579,-24.7918849,-65.4250854,Bonifacio Ruiz de los Llanos,Francisco Narciso de Laprida,Bonifacio Ruiz de los Llanos y Francisco Narciso de Laprida
2133908582,-24.792078,-65.4223293,Bonifacio Ruiz de los Llanos,General Gregorio Aráoz de Lamadrid,Bonifacio Ruiz de los Llanos y General Gregorio Aráoz de Lamadrid
2133908585,-24.7921734,-65.4209435,Bonifacio Ruiz de los Llanos,General José María Paz,Bonifacio Ruiz de los Llanos y General José María Paz
2133908587,-24.792928,-65.4293478,Ayacucho,Doctor E. Torino,Ayacucho y Doctor E. Torino
2133908589,-24.7930215,-65.4279654,Coronel José de Moldes,Doctor E. Torino,Coronel José de Moldes y Doctor E. Torino
2133908591,-24.7941887,-65.4294596,Ayacucho,Doctor J. Frias,Ayacucho y Doctor J. Frias
2133908594,-24.7942782,-65.4280673,Coronel José de Moldes,Doctor J. Frias,Coronel José de Moldes y Doctor J. Frias
2134208072,-24.7821162,-65.4061747,Eusebio Mollinedo,Juan Martín de Pueyrredón,Eusebio Mollinedo y Juan Martín de Pueyrredón
2134228910,-24.7806805,-65.4296859,Juan Esteban Pedernera,Primera Junta,Juan Esteban Pedernera y Primera Junta
2134228911,-24.7818926,-65.42841,Gonzalo de Abreu,Junín,Gonzalo de Abreu y Junín
2134228912,-24.7819775,-65.4270152,Gonzalo de Abreu,República de Siria,Gonzalo de Abreu y República de Siria
2134228913,-24.7940969,-65.4322098,José Valentín de Olavarría,Pistarini,José Valentín de Olavarría y Pistarini
2134228915,-24.7954516,-65.4295605,Ayacucho,Baldomero Castro,Ayacucho y Baldomero Castro
2134228916,-24.795545,-65.4281719,Baldomero Castro,Coronel José de Moldes,Baldomero Castro y Coronel José de Moldes
2134228917,-24.7956372,-65.4267977,Baldomero Castro,Chacabuco,Baldomero Castro y Chacabuco
2134228918,-24.7957326,-65.4254195,Baldomero Castro,Francisco Narciso de Laprida,Baldomero Castro y Francisco Narciso de Laprida
2134241674,-24.784397,-65.4341447,Doctor Luis Güemes,General Martín Miguel de Güemes,Doctor Luis Güemes y General Martín Miguel de Güemes
2134241675,-24.785396,-65.4351532,Andrés Pacheco de Melo,Luis Burela,Andrés Pacheco de Melo y Luis Burela
2134241676,-24.7863236,-65.4343528,Doctor Luis Güemes,Gabino Sardina,Doctor Luis Güemes y Gabino Sardina
2134281448,-24.7772412,-65.4313478,Luis Patrón Costas,Mariano Necochea,Luis Patrón Costas y Mariano Necochea
2134281469,-24.8026253,-65.4226814,10 de Octubre,Dalmacio Vélez Sársfield,10 de Octubre y Dalmacio Vélez Sársfield
2134281479,-24.8045671,-65.427493,Coronel José de Moldes,Dionisio Ramos,Coronel José de Moldes y Dionisio Ramos
2134281482,-24.8048492,-65.4260592,Chacabuco,Dionisio Ramos,Chacabuco y Dionisio Ramos
2134281485,-24.8051653,-65.4245002,Dionisio Ramos,Francisco Narciso de Laprida,Dionisio Ramos y Francisco Narciso de Laprida
2134281487,-24.8056449,-65.4215437,Avenida Bélgica,General Gregorio Aráoz de Lamadrid,Avenida Bélgica y General Gregorio Aráoz de Lamadrid
2134281488,-24.806187,-65.4218073,Dionisio Ramos,General Gregorio Aráoz de Lamadrid,Dionisio Ramos y General Gregorio Aráoz de Lamadrid
2135274842,-24.8112516,-65.4124425,Florida,Padre Agustin de Castañarez,Florida y Padre Agustin de Castañarez
2155874680,-24.7876618,-65.40107,Del Milagro,Gabriel Puló,Del Milagro y Gabriel Puló
2424959496,-24.7970638,-65.3992351,Abraham Cornejo,Doctor Juan Antonio Fernández,Abraham Cornejo y Doctor Juan Antonio Fernández
2445304785,-24.7947102,-65.4310447,San Juan,Talcahuano,San Juan y Talcahuano
2445304786,-24.7922912,-65.4292868,Avenida San Martín,Ayacucho,Avenida San Martín y Ayacucho
2463512457,-24.8075841,-65.4110291,Buenos Aires,De la Democracia,Buenos Aires y De la Democracia
2470251142,-24.7994502,-65.4173866,Esteco,Tucumán,Esteco y Tucumán
2470253580,-24.8020569,-65.4121203,Esteco,Juan Bautista Alberdi,Esteco y Juan Bautista Alberdi
2470253587,-24.8015148,-65.4128311,Esteco,Pasaje Pedro A. Ceballos,Esteco y Pasaje Pedro A. Ceballos
2471309442,-24.8038697,-65.4161722,De la Democracia,Joaquín Díaz de Bedoya,De la Democracia y Joaquín Díaz de Bedoya
2471309446,-24.8040362,-65.4144384,De la Democracia,Joaquín Díaz de Bedoya,De la Democracia y Joaquín Díaz de Bedoya
2471309447,-24.8047709,-65.4142121,De la Democracia,Joaquín Castellanos,De la Democracia y Joaquín Castellanos
2471320092,-24.8014519,-65.4294394,Coronel Jorge Vidt,Tucumán,Coronel Jorge Vidt y Tucumán
2471329353,-24.8025008,-65.4116446,Bruno Mauricio de Zabala,Esteco,Bruno Mauricio de Zabala y Esteco
2471329355,-24.8037934,-65.4114241,Esteco,Joaquín Castellanos,Esteco y Joaquín Castellanos
2537451791,-24.8037368,-65.4203374,De Lerma,Lola Mora,De Lerma y Lola Mora
2537451793,-24.8034258,-65.4195706,Dalmacio Vélez Sársfield,Pasaje Limache,Dalmacio Vélez Sársfield y Pasaje Limache
2537451794,-24.8037382,-65.4195993,Lola Mora,Pasaje Limache,Lola Mora y Pasaje Limache
2537451802,-24.8022762,-65.4207674,Coronel Jorge Vidt,Dalmacio Vélez Sársfield,Coronel Jorge Vidt y Dalmacio Vélez Sársfield
2537451814,-24.8043357,-65.4150161,Escuadrón de los Gauchos,Joaquín Díaz de Bedoya,Escuadrón de los Gauchos y Joaquín Díaz de Bedoya
2585486712,-24.7932169,-65.3972095,Antonio Ortelli,Doctor Carlos Costas,Antonio Ortelli y Doctor Carlos Costas
2596530333,-24.8010507,-65.4196107,Corrientes,Pasaje Limache,Corrientes y Pasaje Limache
2720968498,-24.7959383,-65.4316648,La Caldera,San Luis,La Caldera y San Luis
3113163090,-24.8040038,-65.4256748,Chacabuco,Teodoro Fels,Chacabuco y Teodoro Fels
3113163091,-24.8045193,-65.4230948,10 de Octubre,Teodoro Fels,10 de Octubre y Teodoro Fels
3113163092,-24.8043359,-65.4230617,10 de Octubre,Teodoro Fels,10 de Octubre y Teodoro Fels
3113163093,-24.8048792,-65.4216933,General Gregorio Aráoz de Lamadrid,Teodoro Fels,General Gregorio Aráoz de Lamadrid y Teodoro Fels
3113163097,-24.8055717,-65.425769,Chacabuco,Ingeniero Abel F. Cornejo,Chacabuco y Ingeniero Abel F. Cornejo
3142331992,-24.8058221,-65.3936884,Las Camelias,Los Amancay,Las Camelias y Los Amancay
3142332000,-24.8043335,-65.3922745,Las Amapolas,Los Bejucos,Las Amapolas y Los Bejucos
3142332001,-24.803931,-65.3926016,Las Amapolas,Los Gladiolos,Las Amapolas y Los Gladiolos
3217884133,-24.7932732,-65.4321444,José Valentín de Olavarría,Mendoza,José Valentín de Olavarría y Mendoza
